order,new_number,old_number,plot_type,treatment,species,sown_seeds,count
1,1,1,mono,PL,AC,38,3
2,1,1,mono,PL,BR,33,3
3,1,1,mono,PL,HO,30,1
4,1,1,mono,PL,FE,31,12
5,1,1,mono,PL,LA,140,0
6,1,1,mono,PL,NAAT,28,1
7,1,1,mono,PL,PL,33,0
8,1,1,mono,PL,SA,37,2
9,1,1,mono,PL,UR,43,24
10,2,2,mono,HO,AC,38,0
11,2,2,mono,HO,BR,33,0
12,2,2,mono,HO,HO,30,0
13,2,2,mono,HO,FE,31,4
14,2,2,mono,HO,LA,140,0
15,2,2,mono,HO,NAAT,28,1
16,2,2,mono,HO,PL,33,1
17,2,2,mono,HO,SA,37,4
18,2,2,mono,HO,UR,43,20
19,6,9,mono,SA,AC,38,0
20,6,9,mono,SA,BR,33,0
21,6,9,mono,SA,HO,30,4
22,6,9,mono,SA,FE,31,0
23,6,9,mono,SA,LA,140,0
24,6,9,mono,SA,NAAT,28,0
25,6,9,mono,SA,PL,33,0
26,6,9,mono,SA,SA,37,0
27,6,9,mono,SA,UR,43,0
28,9,6,mono,LA,AC,38,1
29,9,6,mono,LA,BR,33,3
30,9,6,mono,LA,HO,30,1
31,9,6,mono,LA,FE,31,4
32,9,6,mono,LA,LA,140,0
33,9,6,mono,LA,NAAT,28,3
34,9,6,mono,LA,PL,33,0
35,9,6,mono,LA,SA,37,1
36,9,6,mono,LA,UR,43,4
37,10,10,mono,UR,AC,38,2
38,10,10,mono,UR,BR,33,0
39,10,10,mono,UR,HO,30,2
40,10,10,mono,UR,FE,31,0
41,10,10,mono,UR,LA,140,0
42,10,10,mono,UR,NAAT,28,1
43,10,10,mono,UR,PL,33,0
44,10,10,mono,UR,SA,37,9
45,10,10,mono,UR,UR,43,0
46,11,11,bare,bare,AC,38,2
47,11,11,bare,bare,BR,33,2
48,11,11,bare,bare,HO,30,2
49,11,11,bare,bare,FE,31,7
50,11,11,bare,bare,LA,140,0
51,11,11,bare,bare,NAAT,28,0
52,11,11,bare,bare,PL,33,6
53,11,11,bare,bare,SA,37,5
54,11,11,bare,bare,UR,43,9
55,12,12,mono,FE,AC,38,2
56,12,12,mono,FE,BR,33,0
57,12,12,mono,FE,HO,30,4
58,12,12,mono,FE,FE,31,0
59,12,12,mono,FE,LA,140,0
60,12,12,mono,FE,NAAT,28,0
61,12,12,mono,FE,PL,33,12
62,12,12,mono,FE,SA,37,1
63,12,12,mono,FE,UR,43,8
64,16,16,mono,BR,AC,38,3
65,16,16,mono,BR,BR,33,3
66,16,16,mono,BR,HO,30,3
67,16,16,mono,BR,FE,31,6
68,16,16,mono,BR,LA,140,0
69,16,16,mono,BR,NAAT,28,0
70,16,16,mono,BR,PL,33,0
71,16,16,mono,BR,SA,37,5
72,16,16,mono,BR,UR,43,5
73,18,18,mono,AC,AC,38,0
74,18,18,mono,AC,BR,33,0
75,18,18,mono,AC,HO,30,2
76,18,18,mono,AC,FE,31,6
77,18,18,mono,AC,LA,140,0
78,18,18,mono,AC,NAAT,28,0
79,18,18,mono,AC,PL,33,0
80,18,18,mono,AC,SA,37,3
81,18,18,mono,AC,UR,43,8
82,19,19,bare,bare,AC,38,4
83,19,19,bare,bare,BR,33,0
84,19,19,bare,bare,HO,30,6
85,19,19,bare,bare,FE,31,0
86,19,19,bare,bare,LA,140,0
87,19,19,bare,bare,NAAT,28,0
88,19,19,bare,bare,PL,33,14
89,19,19,bare,bare,SA,37,1
90,19,19,bare,bare,UR,43,9
91,21,21,mono,NAAT,AC,38,1
92,21,21,mono,NAAT,BR,33,2
93,21,21,mono,NAAT,HO,30,0
94,21,21,mono,NAAT,FE,31,4
95,21,21,mono,NAAT,LA,140,0
96,21,21,mono,NAAT,NAAT,28,0
97,21,21,mono,NAAT,PL,33,0
98,21,21,mono,NAAT,SA,37,1
99,21,21,mono,NAAT,UR,43,4
100,23,23,mono,LA,AC,38,0
101,23,23,mono,LA,BR,33,0
102,23,23,mono,LA,HO,30,4
103,23,23,mono,LA,FE,31,6
104,23,23,mono,LA,LA,140,0
105,23,23,mono,LA,NAAT,28,0
106,23,23,mono,LA,PL,33,0
107,23,23,mono,LA,SA,37,1
108,23,23,mono,LA,UR,43,0
109,24,24,mono,FE,AC,38,0
110,24,24,mono,FE,BR,33,0
111,24,24,mono,FE,HO,30,2
112,24,24,mono,FE,FE,31,0
113,24,24,mono,FE,LA,140,0
114,24,24,mono,FE,NAAT,28,0
115,24,24,mono,FE,PL,33,0
116,24,24,mono,FE,SA,37,0
117,24,24,mono,FE,UR,43,9
118,25,25,mono,AC,AC,38,0
119,25,25,mono,AC,BR,33,0
120,25,25,mono,AC,HO,30,4
121,25,25,mono,AC,FE,31,11
122,25,25,mono,AC,LA,140,0
123,25,25,mono,AC,NAAT,28,0
124,25,25,mono,AC,PL,33,0
125,25,25,mono,AC,SA,37,2
126,25,25,mono,AC,UR,43,20
127,26,26,bare,bare,AC,38,3
128,26,26,bare,bare,BR,33,0
129,26,26,bare,bare,HO,30,8
130,26,26,bare,bare,FE,31,0
131,26,26,bare,bare,LA,140,0
132,26,26,bare,bare,NAAT,28,0
133,26,26,bare,bare,PL,33,0
134,26,26,bare,bare,SA,37,9
135,26,26,bare,bare,UR,43,12
136,27,27,mono,BR,AC,38,7
137,27,27,mono,BR,BR,33,0
138,27,27,mono,BR,HO,30,0
139,27,27,mono,BR,FE,31,0
140,27,27,mono,BR,LA,140,0
141,27,27,mono,BR,NAAT,28,0
142,27,27,mono,BR,PL,33,0
143,27,27,mono,BR,SA,37,2
144,27,27,mono,BR,UR,43,5
145,30,30,mono,HO,AC,38,0
146,30,30,mono,HO,BR,33,0
147,30,30,mono,HO,HO,30,0
148,30,30,mono,HO,FE,31,0
149,30,30,mono,HO,LA,140,0
150,30,30,mono,HO,NAAT,28,0
151,30,30,mono,HO,PL,33,0
152,30,30,mono,HO,SA,37,4
153,30,30,mono,HO,UR,43,4
154,32,32,mono,SA,AC,38,1
155,32,32,mono,SA,BR,33,0
156,32,32,mono,SA,HO,30,3
157,32,32,mono,SA,FE,31,5
158,32,32,mono,SA,LA,140,0
159,32,32,mono,SA,NAAT,28,0
160,32,32,mono,SA,PL,33,0
161,32,32,mono,SA,SA,37,0
162,32,32,mono,SA,UR,43,5
163,35,35,mono,NAAT,AC,38,7
164,35,35,mono,NAAT,BR,33,0
165,35,35,mono,NAAT,HO,30,0
166,35,35,mono,NAAT,FE,31,8
167,35,35,mono,NAAT,LA,140,0
168,35,35,mono,NAAT,NAAT,28,0
169,35,35,mono,NAAT,PL,33,0
170,35,35,mono,NAAT,SA,37,3
171,35,35,mono,NAAT,UR,43,4
172,36,36,mono,UR,AC,38,2
173,36,36,mono,UR,BR,33,0
174,36,36,mono,UR,HO,30,0
175,36,36,mono,UR,FE,31,0
176,36,36,mono,UR,LA,140,0
177,36,36,mono,UR,NAAT,28,0
178,36,36,mono,UR,PL,33,0
179,36,36,mono,UR,SA,37,1
180,36,36,mono,UR,UR,43,0
181,38,38,bare,bare,AC,38,3
182,38,38,bare,bare,BR,33,0
183,38,38,bare,bare,HO,30,2
184,38,38,bare,bare,FE,31,3
185,38,38,bare,bare,LA,140,0
186,38,38,bare,bare,NAAT,28,0
187,38,38,bare,bare,PL,33,0
188,38,38,bare,bare,SA,37,13
189,38,38,bare,bare,UR,43,17
190,41,41,mono,PL,AC,38,3
191,41,41,mono,PL,BR,33,0
192,41,41,mono,PL,HO,30,2
193,41,41,mono,PL,FE,31,0
194,41,41,mono,PL,LA,140,0
195,41,41,mono,PL,NAAT,28,0
196,41,41,mono,PL,PL,33,0
197,41,41,mono,PL,SA,37,1
198,41,41,mono,PL,UR,43,0
199,44,44,mono,UR,AC,38,0
200,44,44,mono,UR,BR,33,0
201,44,44,mono,UR,HO,30,2
202,44,44,mono,UR,FE,31,11
