order,new_number,old_number,plot_type,treatment,species,count,seeds per head,seeds
1,1,1,mono,PL,AC,77,5.2,400.4
2,1,1,mono,PL,BR,NA,64.95,NA
3,1,1,mono,PL,HO,4,12.85,51.4
4,1,1,mono,PL,HO,1,12.85,12.85
5,1,1,mono,PL,HO,7,12.85,89.95
6,1,1,mono,PL,HO,10,12.85,128.5
7,1,1,mono,PL,FE,5,41.8,209
8,1,1,mono,PL,FE,2,41.8,83.6
9,1,1,mono,PL,FE,4,41.8,167.2
10,1,1,mono,PL,FE,3,41.8,125.4
11,1,1,mono,PL,FE,5,41.8,209
12,1,1,mono,PL,LA,NA,59.1,NA
13,1,1,mono,PL,NAAT,,NA,NA
14,1,1,mono,PL,PL,3,28.4,85.2
15,1,1,mono,PL,PL,6,28.4,170.4
16,1,1,mono,PL,PL,8,28.4,227.2
17,1,1,mono,PL,PL,11,28.4,312.4
18,1,1,mono,PL,PL,4,28.4,113.6
19,1,1,mono,PL,PL,6,28.4,170.4
20,1,1,mono,PL,SA,14,180.65,2529.1
21,1,1,mono,PL,UR,6,94.55,567.3
22,1,1,mono,PL,UR,3,94.55,283.65
23,1,1,mono,PL,UR,12,94.55,1134.6
24,2,2,mono,HO,AC,NA,5.2,NA
25,2,2,mono,HO,BR,NA,64.95,NA
26,2,2,mono,HO,HO,22,12.85,282.7
27,2,2,mono,HO,HO,12,12.85,154.2
28,2,2,mono,HO,HO,34,12.85,436.9
29,2,2,mono,HO,HO,10,12.85,128.5
30,2,2,mono,HO,HO,13,12.85,167.05
31,2,2,mono,HO,HO,21,12.85,269.85
32,2,2,mono,HO,HO,5,12.85,64.25
33,2,2,mono,HO,HO,7,12.85,89.95
34,2,2,mono,HO,HO,15,12.85,192.75
35,2,2,mono,HO,FE,1,41.8,41.8
36,2,2,mono,HO,FE,2,41.8,83.6
37,2,2,mono,HO,FE,1,41.8,41.8
38,2,2,mono,HO,FE,2,41.8,83.6
39,2,2,mono,HO,LA,NA,59.1,NA
40,2,2,mono,HO,NAAT,,NA,NA
41,2,2,mono,HO,PL,NA,28.4,NA
42,2,2,mono,HO,SA,NA,180.65,NA
43,2,2,mono,HO,UR,6,94.55,567.3
